Times,Average Energy (W)
1,52.669999999999995
2,40.361666666666665
3,41.17833333333333
4,46.77833333333333
5,37.794999999999995
6,49.92833333333333
7,47.945
8,51.15333333333333
9,39.894999999999996
10,53.60333333333333
11,32.428333333333335
12,49.81166666666666
13,29.803333333333335
14,36.919999999999995
15,42.986666666666665
16,35.111666666666665
17,50.16166666666666
18,32.07833333333333
19,48.995
20,36.394999999999996
21,48.995
22,37.79566666666666
23,49.005
24,39.905
25,43.69666666666667
26,35.005
27,39.67166666666667
28,44.805
29,37.455000000000005
30,48.36333333333334
