Times,Average Energy (W)
1,22.586666666666666
2,22.295
3,22.187833333333334
4,21.955
5,22.596666666666668
6,23.18
7,22.48
8,22.946666666666665
9,23.063333333333333
10,21.081333333333337
11,23.073333333333334
12,22.490000000000002
13,22.665000000000003
14,22.373333333333335
15,20.623333333333335
16,22.43166666666667
17,22.373333333333335
18,22.322166666666664
19,22.5
20,23.083333333333332
21,22.15
22,22.5
23,22.616666666666667
24,22.5
25,22.733333333333334
26,23.092499999999998
27,22.743333333333336
28,20.818333333333335
29,22.80166666666667
30,22.743333333333336
