Times,Average Energy (W)
1,161.62333333333333
2,165.59
3,161.39
4,161.50666666666666
5,161.1625
6,165.48333333333332
7,156.325
8,156.73333333333332
9,159.59166666666667
10,176.68333333333334
11,163.20833333333334
12,157.2095
13,168.76000000000002
14,161.64333333333335
15,160.535
16,157.79333333333335
17,160.71
18,163.1045
19,169.0033333333333
20,160.5728333333333
21,153.652
22,157.77816666666664
23,148.57583333333332
24,158.39916666666664
25,167.51449999999997
26,163.28166666666667
27,163.50366666666665
28,155.04166666666666
29,161.10833333333332
30,160.5211666666667
