Times,Average Energy (W)
1,120.44566666666667
2,126.98666666666668
3,108.61166666666668
4,153.4116666666667
5,117.36166666666668
6,114.465
7,127.57183333333334
8,128.42783333333335
9,137.94216666666668
10,134.23483333333334
11,149.94083333333336
12,120.06916666666667
13,154.90233333333336
14,111.33316666666668
15,128.94083333333336
16,126.22083333333335
17,112.99650000000001
18,145.816
19,129.112
20,117.01683333333334
21,76.23666666666668
22,142.8545
23,132.13483333333335
24,124.87683333333334
25,96.992
26,148.86166666666668
27,134.925
28,100.83666666666667
29,146.6285
30,130.47566666666668
