Times,Average Energy (W)
1,152.935
2,144.535
3,133.91833333333335
4,144.54666666666665
5,118.95416666666667
6,140.85649999999998
7,162.569
8,152.9865
9,136.58216666666667
10,122.46700000000001
11,151.7648333333333
12,155.05316666666667
13,153.9215
14,135.15766666666667
15,130.32766666666666
16,163.63549999999998
17,134.43016666666668
18,147.7295
19,126.8415
20,134.5085
21,153.40733333333336
22,160.4045
23,142.186
24,143.3725
25,135.79083333333332
26,152.59366666666668
27,146.0165
28,102.03583333333333
29,139.46383333333333
30,164.85416666666666
