Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,27.8,2.37,125,2.97,40,7,350,24.5,27.47
2,27.8,2.37,125,2.97,40,6,350,21,23.97
3,27.8,2.37,125,2.97,41,29,350,101.5,104.47
4,27.8,2.37,125,2.97,41,29,350,101.5,104.47
5,27.8,2.37,125,2.97,41,0,350,0,2.97
6,27.8,2.37,125,2.97,41,9,350,31.5,34.47
7,27.8,2.37,125,2.97,41,0,350,0,2.97
8,27.8,2.37,125,2.97,41,0,350,0,2.97
9,27.8,2.37,125,2.97,41,8,350,28,30.97
10,27.8,2.37,125,2.97,43,34,350,119,121.97
11,27.8,2.37,125,2.97,42,0,350,0,2.97
12,27.8,2.37,125,2.97,42,0,350,0,2.97
13,27.8,2.37,125,2.97,42,0,350,0,2.97
14,27.8,2.37,125,2.97,42,8,350,28,30.97
15,27.8,2.37,125,2.97,42,0,350,0,2.97
16,27.8,2.37,125,2.97,42,0,350,0,2.97
17,27.8,2.37,125,2.97,43,33,350,115.5,118.47
18,27.8,2.37,125,2.97,43,0,350,0,2.97
19,27.8,2.37,125,2.97,43,0,350,0,2.97
20,27.8,2.37,125,2.97,44,20,350,70,72.97
21,27.8,2.37,125,2.97,44,16,350,56,58.97
22,27.8,2.37,125,2.97,45,27,350,94.5,97.47
23,27.8,2.37,125,2.97,44,0,350,0,2.97
24,27.8,2.37,125,2.97,44,18,350,63,65.97
25,27.8,2.37,125,2.97,45,25,350,87.5,90.47
26,27.8,2.37,125,2.97,44,0,350,0,2.97
27,27.8,2.37,125,2.97,44,18,350,63,65.97
28,27.8,2.37,125,2.97,45,33,350,115.5,118.47
29,27.8,2.37,125,2.97,45,24,350,84,86.97
30,27.8,2.37,125,2.97,46,31,350,108.5,111.47
31,27.8,2.37,125,2.97,46,30,350,105,107.97
32,27.8,2.37,125,2.97,45,29,350,101.5,104.47
33,27.8,2.37,125,2.97,45,0,350,0,2.97
34,27.8,2.37,125,2.97,45,0,350,0,2.97
35,27.8,2.37,125,2.97,45,0,350,0,2.97
36,27.8,2.37,125,2.97,45,29,350,101.5,104.47
37,27.8,2.37,125,2.97,45,0,350,0,2.97
38,27.8,2.37,125,2.97,45,0,350,0,2.97
39,27.8,2.37,125,2.97,47,29,350,101.5,104.47
40,27.8,2.37,125,2.97,46,34,350,119,121.97
41,27.8,2.37,125,2.97,46,37,350,129.5,132.47
42,27.8,2.37,125,2.97,46,4,350,14,16.97
43,27.8,2.37,125,2.97,46,0,350,0,2.97
44,27.8,2.37,125,2.97,46,0,350,0,2.97
45,27.8,2.37,125,2.97,46,0,350,0,2.97
46,27.8,2.37,125,2.97,46,13,350,45.5,48.47
47,27.8,2.37,125,2.97,47,28,350,98,100.97
48,27.8,2.37,125,2.97,47,29,350,101.5,104.47
49,27.8,2.37,125,2.97,46,0,350,0,2.97
50,27.8,2.37,125,2.97,46,0,350,0,2.97
51,27.8,2.37,125,2.97,48,34,350,119,121.97
52,27.8,2.37,125,2.97,48,35,350,122.5,125.47
53,27.8,2.37,125,2.97,47,15,350,52.5,55.47
54,27.8,2.37,125,2.97,47,0,350,0,2.97
55,27.8,2.37,125,2.97,47,0,350,0,2.97
56,27.8,2.37,125,2.97,47,8,350,28,30.97
57,27.8,2.37,125,2.97,48,33,350,115.5,118.47
58,27.8,2.37,125,2.97,48,28,350,98,100.97
59,27.8,2.37,125,2.97,49,29,350,101.5,104.47
60,27.8,2.37,125,2.97,49,33,350,115.5,118.47
61,27.8,2.37,125,2.97,49,33,350,115.5,118.47
62,27.8,2.37,125,2.97,48,0,350,0,2.97
63,27.8,2.37,125,2.97,48,0,350,0,2.97
64,27.8,2.37,125,2.97,49,21,350,73.5,76.47
65,27.8,2.37,125,2.97,48,0,350,0,2.97
66,27.8,2.37,125,2.97,48,0,350,0,2.97
67,27.8,2.37,125,2.97,49,33,350,115.5,118.47
68,27.8,2.37,125,2.97,48,0,350,0,2.97
69,27.8,2.37,125,2.97,48,0,350,0,2.97
70,27.8,2.37,125,2.97,48,8,350,28,30.97
71,27.8,2.37,125,2.97,49,28,350,98,100.97
72,27.8,2.37,125,2.97,49,38,350,133,135.97
73,27.8,2.37,125,2.97,49,8,350,28,30.97
74,27.8,2.37,125,2.97,49,11,350,38.5,41.47
75,27.8,2.37,125,2.97,49,16,350,56,58.97
76,27.8,2.37,125,2.97,49,0,350,0,2.97
77,27.8,2.37,125,2.97,49,0,350,0,2.97
78,27.8,2.37,125,2.97,49,0,350,0,2.97
79,27.8,2.37,125,2.97,49,0,350,0,2.97
80,27.8,2.37,125,2.97,49,0,350,0,2.97
81,27.8,2.37,125,2.97,49,0,350,0,2.97
82,27.8,2.37,125,2.97,50,26,350,91,93.97
83,27.8,2.37,125,2.97,49,0,350,0,2.97
84,27.8,2.37,125,2.97,49,0,350,0,2.97
85,27.8,2.37,125,2.97,49,0,350,0,2.97
86,27.8,2.37,125,2.97,49,0,350,0,2.97
87,27.8,2.37,125,2.97,49,0,350,0,2.97
88,27.8,2.37,125,2.97,49,8,350,28,30.97
89,27.8,2.37,125,2.97,50,25,350,87.5,90.47
90,27.8,2.37,125,2.97,49,0,350,0,2.97
91,27.8,2.37,125,2.97,49,0,350,0,2.97
