Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,27.8,2.39,125,2.98,48,7,350,24.5,27.48
2,27.8,2.39,125,2.98,48,7,350,24.5,27.48
3,27.8,2.39,125,2.98,49,7,350,24.5,27.48
4,27.8,2.39,125,2.98,49,0,350,0,2.98
5,27.8,2.39,125,2.98,49,0,350,0,2.98
6,27.8,2.39,125,2.98,49,0,350,0,2.98
7,27.8,2.39,125,2.98,49,0,350,0,2.98
8,27.8,2.39,125,2.98,49,0,350,0,2.98
9,27.8,2.39,125,2.98,49,0,350,0,2.98
10,27.8,2.39,125,2.98,49,0,350,0,2.98
11,27.8,2.39,125,2.98,49,0,350,0,2.98
12,27.8,2.39,125,2.98,49,0,350,0,2.98
13,27.8,2.39,125,2.98,49,0,350,0,2.98
14,27.8,2.39,125,2.98,49,0,350,0,2.98
15,27.8,2.39,125,2.98,50,0,350,0,2.98
16,27.8,2.39,125,2.98,50,0,350,0,2.98
17,27.8,2.39,125,2.98,50,0,350,0,2.98
18,27.8,2.39,125,2.98,50,0,350,0,2.98
19,27.8,2.39,125,2.98,50,3,350,10.5,13.48
20,27.8,2.39,125,2.98,50,0,350,0,2.98
21,27.8,2.39,125,2.98,50,7,350,24.5,27.48
22,27.8,2.39,125,2.98,50,7,350,24.5,27.48
23,27.8,2.39,125,2.98,50,6,350,21,23.98
24,27.8,2.39,125,2.98,50,0,350,0,2.98
25,27.8,2.39,125,2.98,50,0,350,0,2.98
26,27.8,2.39,125,2.98,50,0,350,0,2.98
27,27.8,2.39,125,2.98,50,0,350,0,2.98
28,27.8,2.39,125,2.98,50,0,350,0,2.98
29,27.8,2.39,125,2.98,50,0,350,0,2.98
30,27.8,2.39,125,2.98,50,0,350,0,2.98
31,27.8,2.39,125,2.98,50,0,350,0,2.98
32,27.8,2.39,125,2.98,50,0,350,0,2.98
33,27.8,2.39,125,2.98,50,0,350,0,2.98
34,27.8,2.39,125,2.98,51,0,350,0,2.98
35,27.8,2.39,125,2.98,51,0,350,0,2.98
36,27.8,2.39,125,2.98,51,6,350,21,23.98
37,27.8,2.39,125,2.98,51,7,350,24.5,27.48
38,27.8,2.39,125,2.98,51,0,350,0,2.98
39,27.8,2.39,125,2.98,51,0,350,0,2.98
40,27.8,2.39,125,2.98,51,0,350,0,2.98
41,27.8,2.39,125,2.98,51,0,350,0,2.98
42,27.8,2.39,125,2.98,51,0,350,0,2.98
43,27.8,2.39,125,2.98,51,0,350,0,2.98
44,27.8,2.39,125,2.98,51,0,350,0,2.98
45,27.8,2.39,125,2.98,51,0,350,0,2.98
46,27.8,2.39,125,2.98,51,0,350,0,2.98
47,27.8,2.39,125,2.98,51,0,350,0,2.98
48,27.8,2.39,125,2.98,51,0,350,0,2.98
49,27.8,2.39,125,2.98,51,0,350,0,2.98
50,27.8,2.39,125,2.98,51,0,350,0,2.98
51,27.8,2.39,125,2.98,51,1,350,3.5,6.48
52,27.8,2.39,125,2.98,51,0,350,0,2.98
53,27.8,2.39,125,2.98,51,8,350,28,30.98
54,27.8,2.39,125,2.98,51,7,350,24.5,27.48
55,27.8,2.39,125,2.98,51,7,350,24.5,27.48
56,27.8,2.39,125,2.98,51,0,350,0,2.98
57,27.8,2.39,125,2.98,51,0,350,0,2.98
58,27.8,2.39,125,2.98,51,0,350,0,2.98
59,27.8,2.39,125,2.98,51,0,350,0,2.98
60,27.8,2.39,125,2.98,51,0,350,0,2.98
61,27.8,2.39,125,2.98,51,0,350,0,2.98
62,27.8,2.39,125,2.98,51,0,350,0,2.98
63,27.8,2.39,125,2.98,51,1,350,3.5,6.48
64,27.8,2.39,125,2.98,51,0,350,0,2.98
65,27.8,2.39,125,2.98,51,7,350,24.5,27.48
66,27.8,2.39,125,2.98,51,6,350,21,23.98
67,27.8,2.39,125,2.98,52,6,350,21,23.98
68,27.8,2.39,125,2.98,51,0,350,0,2.98
69,27.8,2.39,125,2.98,51,0,350,0,2.98
70,27.8,2.39,125,2.98,52,0,350,0,2.98
71,27.8,2.39,125,2.98,52,0,350,0,2.98
72,27.8,2.39,125,2.98,52,0,350,0,2.98
73,27.8,2.39,125,2.98,52,0,350,0,2.98
74,27.8,2.39,125,2.98,52,0,350,0,2.98
75,27.8,2.39,125,2.98,52,0,350,0,2.98
76,27.8,2.39,125,2.98,52,0,350,0,2.98
77,27.8,2.39,125,2.98,52,0,350,0,2.98
78,27.8,2.39,125,2.98,52,0,350,0,2.98
79,27.8,2.39,125,2.98,52,0,350,0,2.98
80,27.8,2.39,125,2.98,52,0,350,0,2.98
81,27.8,2.39,125,2.98,52,9,350,31.5,34.48
82,27.8,2.39,125,2.98,52,7,350,24.5,27.48
83,27.8,2.39,125,2.98,52,7,350,24.5,27.48
84,27.8,2.39,125,2.98,52,0,350,0,2.98
85,27.8,2.39,125,2.98,52,0,350,0,2.98
86,27.8,2.39,125,2.98,52,0,350,0,2.98
87,27.8,2.39,125,2.98,52,0,350,0,2.98
88,27.8,2.39,125,2.98,52,0,350,0,2.98
89,27.8,2.39,125,2.98,52,0,350,0,2.98
90,27.8,2.39,125,2.98,52,0,350,0,2.98
91,27.8,2.39,125,2.98,52,4,350,14,16.98
92,27.8,2.39,125,2.98,52,0,350,0,2.98
