Times,CPU Temperature (掳C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (掳C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,27.8,1.71,125,2.14,40,4,350.0,14.0,16.14
2,27.8,1.71,125,2.14,40,5,350.0,17.5,19.64
3,27.8,1.71,125,2.14,40,6,350.0,21.0,23.14
4,27.8,1.71,125,2.14,45,55,350.0,192.5,194.64
5,27.8,1.71,125,2.14,45,44,350.0,154.0,156.14
6,27.8,1.71,125,2.14,46,54,350.0,189.0,191.14
7,27.8,1.71,125,2.14,46,52,350.0,182.0,184.14
8,27.8,1.71,125,2.14,47,54,350.0,189.0,191.14
9,27.8,1.71,125,2.14,48,52,350.0,182.0,184.14
10,27.8,1.71,125,2.14,47,36,350.0,126.0,128.14
11,27.8,1.71,125,2.14,48,53,350.0,185.5,187.64
12,27.8,1.71,125,2.14,48,57,350.0,199.5,201.64
13,27.8,1.71,125,2.14,49,49,350.0,171.5,173.64
14,27.8,1.71,125,2.14,49,45,350.0,157.5,159.64
15,27.8,1.71,125,2.14,49,53,350.0,185.5,187.64
16,27.8,1.71,125,2.14,50,53,350.0,185.5,187.64
17,27.8,1.71,125,2.14,50,51,350.0,178.5,180.64
18,27.8,1.71,125,2.14,51,58,350.0,203.0,205.14
19,27.8,1.71,125,2.14,51,53,350.0,185.5,187.64
20,27.8,1.71,125,2.14,51,54,350.0,189.0,191.14
21,27.8,1.71,125,2.14,51,52,350.0,182.0,184.14
22,27.8,1.71,125,2.14,52,56,350.0,196.0,198.14
23,27.8,1.71,125,2.14,50,5,350.0,17.5,19.64
24,27.8,1.71,125,2.14,52,53,350.0,185.5,187.64
25,27.8,1.71,125,2.14,52,53,350.0,185.5,187.64
26,27.8,1.71,125,2.14,52,50,350.0,175.0,177.14
27,27.8,1.71,125,2.14,53,58,350.0,203.0,205.14
28,27.8,1.71,125,2.14,53,56,350.0,196.0,198.14
29,27.8,1.71,125,2.14,53,55,350.0,192.5,194.64
30,27.8,1.71,125,2.14,52,33,350.0,115.5,117.64
31,27.8,1.71,125,2.14,54,53,350.0,185.5,187.64
32,27.8,1.71,125,2.14,53,27,350.0,94.5,96.64
33,27.8,1.71,125,2.14,54,57,350.0,199.5,201.64
34,27.8,1.71,125,2.14,54,44,350.0,154.0,156.14
35,27.8,1.71,125,2.14,54,48,350.0,168.0,170.14
36,27.8,1.71,125,2.14,54,54,350.0,189.0,191.14
37,27.8,1.71,125,2.14,54,49,350.0,171.5,173.64
38,27.8,1.71,125,2.14,55,51,350.0,178.5,180.64
39,27.8,1.71,125,2.14,54,44,350.0,154.0,156.14
40,27.8,1.71,125,2.14,55,51,350.0,178.5,180.64
41,27.8,1.71,125,2.14,55,42,350.0,147.0,149.14
42,27.8,1.71,125,2.14,56,56,350.0,196.0,198.14
43,27.8,1.71,125,2.14,55,54,350.0,189.0,191.14
44,27.8,1.71,125,2.14,55,48,350.0,168.0,170.14
45,27.8,1.71,125,2.14,56,50,350.0,175.0,177.14
46,27.8,1.71,125,2.14,56,51,350.0,178.5,180.64
47,27.8,1.71,125,2.14,56,51,350.0,178.5,180.64
48,27.8,1.71,125,2.14,55,10,350.0,35.0,37.14
49,27.8,1.71,125,2.14,57,48,350.0,168.0,170.14
50,27.8,1.71,125,2.14,57,51,350.0,178.5,180.64
51,27.8,1.71,125,2.14,57,47,350.0,164.5,166.64
52,27.8,1.71,125,2.14,57,52,350.0,182.0,184.14
53,27.8,1.71,125,2.14,57,42,350.0,147.0,149.14
54,27.8,1.71,125,2.14,57,50,350.0,175.0,177.14
55,27.8,1.71,125,2.14,57,44,350.0,154.0,156.14
56,27.8,1.71,125,2.14,58,52,350.0,182.0,184.14
57,27.8,1.71,125,2.14,56,40,350.0,140.0,142.14
58,27.8,1.71,125,2.14,58,49,350.0,171.5,173.64
59,27.8,1.71,125,2.14,56,9,350.0,31.5,33.64
60,27.8,1.71,125,2.14,58,51,350.0,178.5,180.64
61,27.8,1.71,125,2.14,58,52,350.0,182.0,184.14
62,27.8,1.71,125,2.14,58,53,350.0,185.5,187.64
63,27.8,1.71,125,2.14,58,53,350.0,185.5,187.64
64,27.8,1.71,125,2.14,54,52,350.0,182.0,184.14
65,27.8,1.71,125,2.14,54,1,350.0,3.5,5.640000000000001
66,27.8,1.71,125,2.14,53,0,350.0,0.0,2.14
67,27.8,1.71,125,2.14,51,0,350.0,0.0,2.14
68,27.8,1.71,125,2.14,52,8,350.0,28.0,30.14
69,27.8,1.71,125,2.14,53,16,350.0,56.0,58.14
70,27.8,1.71,125,2.14,56,53,350.0,185.5,187.64
