Times,CPU Temperature (°„C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°„C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,45,1.66,115,1.9,41,40,110,44,45.9
2,45,1.66,115,1.9,46,13,110,14.3,16.2
3,45,1.66,115,1.9,41,28,110,30.8,32.7
4,45,1.66,115,1.9,41,10,110,11,12.9
5,45,1.66,115,1.9,41,0,110,0,1.9
6,45,1.66,115,1.9,46,47,110,51.7,53.6
7,45,1.66,115,1.9,43,42,110,46.2,48.1
8,45,1.66,115,1.9,42,0,110,0,1.9
9,45,1.66,115,1.9,42,8,110,8.8,10.7
10,45,1.66,115,1.9,42,0,110,0,1.9
11,45,1.66,115,1.9,43,20,110,22,23.9
12,45,1.66,115,1.9,42,21,110,23.1,25
13,45,1.66,115,1.9,45,54,110,59.4,61.3
14,45,1.66,115,1.9,48,41,110,45.1,47
15,45,1.66,115,1.9,44,0,110,0,1.9
16,45,1.66,115,1.9,43,9,110,9.9,11.8
17,45,1.66,115,1.9,43,0,110,0,1.9
18,45,1.66,115,1.9,46,53,110,58.3,60.2
19,45,1.66,115,1.91,44,11,110,12.1,14.01
20,45,1.66,115,1.91,48,25,110,27.5,29.41
21,45,1.66,115,1.91,50,46,110,50.6,52.51
22,45,1.66,115,1.91,45,33,110,36.3,38.21
23,45,1.66,115,1.91,46,17,110,18.7,20.61
24,45,1.66,115,1.91,45,0,110,0,1.91
25,45,1.66,115,1.91,46,47,110,51.7,53.61
26,45,1.66,115,1.91,45,0,110,0,1.91
27,45,1.66,115,1.91,48,61,110,67.1,69.01
28,45,1.66,115,1.91,49,23,110,25.3,27.21
29,45,1.66,115,1.91,45,0,110,0,1.91
30,45,1.66,115,1.91,46,20,110,22,23.91
31,45,1.66,115,1.91,56,100,110,110,111.91
32,45,1.66,115,1.91,53,93,110,102.3,104.21
33,45,1.66,115,1.91,54,93,110,102.3,104.21
34,45,1.66,115,1.91,54,94,110,103.4,105.31
35,45,1.66,115,1.91,55,93,110,102.3,104.21
36,45,1.66,115,1.91,55,93,110,102.3,104.21
37,45,1.66,115,1.91,56,94,110,103.4,105.31
38,45,1.66,115,1.91,49,15,110,16.5,18.41
39,45,1.66,115,1.91,48,0,110,0,1.91
40,45,1.66,115,1.91,48,0,110,0,1.91
41,45,1.66,115,1.91,51,11,110,12.1,14.01
42,45,1.66,115,1.91,48,13,110,14.3,16.21
43,45,1.66,115,1.91,49,35,110,38.5,40.41
44,45,1.66,115,1.91,48,0,110,0,1.91
45,45,1.66,115,1.91,48,0,110,0,1.91
46,45,1.66,115,1.91,51,49,110,53.9,55.81
47,45,1.66,115,1.91,51,54,110,59.4,61.31
48,45,1.66,115,1.91,48,0,110,0,1.91
49,45,1.66,115,1.91,49,30,110,33,34.91
50,45,1.66,115,1.91,49,0,110,0,1.91
51,45,1.66,115,1.91,54,45,110,49.5,51.41
52,45,1.66,115,1.91,48,0,110,0,1.91
53,45,1.66,115,1.91,51,51,110,56.1,58.01
54,45,1.66,115,1.91,55,49,110,53.9,55.81
55,45,1.66,115,1.91,50,48,110,52.8,54.71
56,45,1.66,115,1.91,49,9,110,9.9,11.81
57,45,1.66,115,1.91,49,0,110,0,1.91
58,45,1.66,115,1.91,51,47,110,51.7,53.61
59,45,1.66,115,1.91,50,30,110,33,34.91
60,45,1.66,115,1.91,52,12,110,13.2,15.11
61,45,1.66,115,1.91,51,49,110,53.9,55.81
62,45,1.66,115,1.91,50,14,110,15.4,17.31
63,45,1.66,115,1.91,51,13,110,14.3,16.21
64,45,1.66,115,1.91,50,0,110,0,1.91
65,45,1.66,115,1.91,50,20,110,22,23.91
66,45,1.66,115,1.91,50,0,110,0,1.91
67,45,1.66,115,1.91,54,44,110,48.4,50.31
68,45,1.66,115,1.91,54,13,110,14.3,16.21
69,45,1.66,115,1.91,55,11,110,12.1,14.01
70,45,1.66,115,1.91,58,93,110,102.3,104.21
71,45,1.66,115,1.91,58,94,110,103.4,105.31
72,45,1.66,115,1.91,59,94,110,103.4,105.31
73,45,1.66,115,1.91,59,93,110,102.3,104.21
74,45,1.66,115,1.91,59,93,110,102.3,104.21
75,45,1.66,115,1.91,60,94,110,103.4,105.31
76,45,1.66,115,1.91,60,93,110,102.3,104.21
77,45,1.66,115,1.91,61,94,110,103.4,105.31
78,45,1.66,115,1.91,56,93,110,102.3,104.21
79,45,1.66,115,1.91,53,0,110,0,1.91
80,45,1.66,115,1.91,53,0,110,0,1.91
81,45,1.66,115,1.91,52,1,110,1.1,3.01
82,45,1.66,115,1.91,57,25,110,27.5,29.41
83,45,1.66,115,1.91,57,40,110,44,45.91
84,45,1.66,115,1.91,53,0,110,0,1.91
85,45,1.66,115,1.91,52,0,110,0,1.91
86,45,1.66,115,1.91,54,49,110,53.9,55.81
87,45,1.66,115,1.91,56,48,110,52.8,54.71
88,45,1.66,115,1.91,53,14,110,15.4,17.31
89,45,1.66,115,1.91,53,11,110,12.1,14.01
90,45,1.66,115,1.91,59,49,110,53.9,55.81
91,45,1.66,115,1.91,53,21,110,23.1,25.01
92,45,1.66,115,1.91,53,0,110,0,1.91
93,45,1.66,115,1.91,54,34,110,37.4,39.31
94,45,1.66,115,1.91,56,44,110,48.4,50.31
95,45,1.66,115,1.91,57,54,110,59.4,61.31
96,45,1.66,115,1.91,53,0,110,0,1.91
97,45,1.66,115,1.91,58,49,110,53.9,55.81
98,45,1.66,115,1.91,53,21,110,23.1,25.01
99,45,1.66,115,1.91,58,46,110,50.6,52.51
100,45,1.66,115,1.91,58,41,110,45.1,47.01
