Times,CPU Temperature (°„C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°„C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,45,1.47,115,1.69,48,12,110,13.2,14.89
2,45,1.47,115,1.69,56,100,110,110,111.69
3,45,1.47,115,1.69,55,93,110,102.3,103.99
4,45,1.47,115,1.69,56,93,110,102.3,103.99
5,45,1.47,115,1.69,57,94,110,103.4,105.09
6,45,1.47,115,1.69,58,93,110,102.3,103.99
7,45,1.47,115,1.69,51,0,110,0,1.69
8,45,1.47,115,1.69,51,0,110,0,1.69
9,45,1.47,115,1.69,50,6,110,6.6,8.29
10,45,1.47,115,1.69,58,100,110,110,111.69
11,45,1.47,115,1.69,59,93,110,102.3,103.99
12,45,1.47,115,1.69,59,94,110,103.4,105.09
13,45,1.47,115,1.69,59,94,110,103.4,105.09
14,45,1.47,115,1.69,60,94,110,103.4,105.09
15,45,1.47,115,1.69,60,93,110,102.3,103.99
16,45,1.47,115,1.69,60,93,110,102.3,103.99
17,45,1.47,115,1.69,61,93,110,102.3,103.99
18,45,1.47,115,1.69,61,93,110,102.3,103.99
19,45,1.47,115,1.69,62,93,110,102.3,103.99
20,45,1.47,115,1.69,62,93,110,102.3,103.99
21,45,1.47,115,1.69,62,94,110,103.4,105.09
22,45,1.47,115,1.69,63,93,110,102.3,103.99
23,45,1.47,115,1.69,63,93,110,102.3,103.99
24,45,1.47,115,1.69,64,94,110,103.4,105.09
25,45,1.47,115,1.69,64,93,110,102.3,103.99
26,45,1.47,115,1.69,64,93,110,102.3,103.99
27,45,1.47,115,1.69,64,94,110,103.4,105.09
28,45,1.47,115,1.69,57,0,110,0,1.69
29,45,1.47,115,1.69,57,2,110,2.2,3.89
30,45,1.47,115,1.69,56,8,110,8.8,10.49
31,45,1.47,115,1.69,64,94,110,103.4,105.09
32,45,1.47,115,1.69,64,94,110,103.4,105.09
33,45,1.47,115,1.69,65,93,110,102.3,103.99
34,45,1.47,115,1.69,65,94,110,103.4,105.09
35,45,1.47,115,1.69,65,93,110,102.3,103.99
36,45,1.47,115,1.69,66,94,110,103.4,105.09
37,45,1.47,115,1.69,66,92,110,101.2,102.89
38,45,1.47,115,1.69,66,94,110,103.4,105.09
39,45,1.47,115,1.69,67,94,110,103.4,105.09
40,45,1.47,115,1.69,67,94,110,103.4,105.09
41,45,1.47,115,1.69,68,94,110,103.4,105.09
42,45,1.47,115,1.69,67,93,110,102.3,103.99
43,45,1.47,115,1.69,67,93,110,102.3,103.99
44,45,1.47,115,1.69,60,2,110,2.2,3.89
45,45,1.47,115,1.69,59,0,110,0,1.69
46,45,1.47,115,1.69,59,12,110,13.2,14.89
47,45,1.47,115,1.69,67,100,110,110,111.69
48,45,1.47,115,1.69,67,93,110,102.3,103.99
49,45,1.47,115,1.69,67,94,110,103.4,105.09
50,45,1.47,115,1.69,67,94,110,103.4,105.09
51,45,1.47,115,1.69,68,93,110,102.3,103.99
52,45,1.47,115,1.69,68,93,110,102.3,103.99
53,45,1.47,115,1.69,62,93,110,102.3,103.99
54,45,1.47,115,1.69,60,0,110,0,1.69
