Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,45,1.5,115,1.73,47,54,110,59.4,61.13
2,45,1.5,115,1.73,48,63,110,69.3,71.03
3,45,1.5,115,1.73,47,34,110,37.4,39.13
4,45,1.5,115,1.73,48,72,110,79.2,80.93
5,45,1.5,115,1.73,46,53,110,58.3,60.03
6,45,1.5,115,1.73,47,10,110,11,12.73
7,45,1.5,115,1.73,50,53,110,58.3,60.03
8,45,1.5,115,1.73,49,53,110,58.3,60.03
9,45,1.5,115,1.73,54,31,110,34.1,35.83
10,45,1.5,115,1.73,54,93,110,102.3,104.03
11,45,1.5,115,1.73,54,93,110,102.3,104.03
12,45,1.5,115,1.73,55,94,110,103.4,105.13
13,45,1.5,115,1.73,55,94,110,103.4,105.13
14,45,1.5,115,1.73,56,94,110,103.4,105.13
15,45,1.5,115,1.73,56,94,110,103.4,105.13
16,45,1.5,115,1.73,50,22,110,24.2,25.93
17,45,1.5,115,1.73,49,0,110,0,1.73
18,45,1.5,115,1.73,49,0,110,0,1.73
19,45,1.5,115,1.73,52,31,110,34.1,35.83
20,45,1.5,115,1.73,52,25,110,27.5,29.23
21,45,1.5,115,1.73,52,54,110,59.4,61.13
22,45,1.5,115,1.73,52,56,110,61.6,63.33
23,45,1.5,115,1.73,52,77,110,84.7,86.43
24,45,1.5,115,1.73,54,40,110,44,45.73
25,45,1.5,115,1.73,54,69,110,75.9,77.63
26,45,1.5,115,1.73,51,53,110,58.3,60.03
27,45,1.5,115,1.73,57,94,110,103.4,105.13
28,45,1.5,115,1.73,58,94,110,103.4,105.13
29,45,1.5,115,1.73,58,94,110,103.4,105.13
30,45,1.5,115,1.73,59,93,110,102.3,104.03
31,45,1.5,115,1.73,59,93,110,102.3,104.03
32,45,1.5,115,1.73,58,88,110,96.8,98.53
33,45,1.5,115,1.73,52,0,110,0,1.73
34,45,1.5,115,1.73,52,0,110,0,1.73
