Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,45,1.58,115,1.81,39,4,110,4.4,6.21
2,45,1.58,115,1.81,44,57,110,62.7,64.51
3,45,1.58,115,1.81,41,0,110,0,1.81
4,45,1.58,115,1.81,41,0,110,0,1.81
5,45,1.58,115,1.81,46,34,110,37.4,39.21
6,45,1.58,115,1.81,42,24,110,26.4,28.21
7,45,1.58,115,1.81,43,0,110,0,1.81
8,45,1.58,115,1.81,43,34,110,37.4,39.21
9,45,1.58,115,1.81,44,24,110,26.4,28.21
10,45,1.58,115,1.81,42,0,110,0,1.81
11,45,1.58,115,1.81,42,0,110,0,1.81
12,45,1.58,115,1.81,42,0,110,0,1.81
13,45,1.58,115,1.81,43,57,110,62.7,64.51
14,45,1.58,115,1.81,43,4,110,4.4,6.21
15,45,1.58,115,1.81,43,0,110,0,1.81
16,45,1.58,115,1.81,42,0,110,0,1.81
17,45,1.58,115,1.81,50,95,110,104.5,106.31
18,45,1.58,115,1.81,43,0,110,0,1.81
19,45,1.58,115,1.81,43,0,110,0,1.81
20,45,1.58,115,1.81,43,11,110,12.1,13.91
21,45,1.58,115,1.81,43,0,110,0,1.81
22,45,1.58,115,1.81,43,0,110,0,1.81
23,45,1.58,115,1.81,43,36,110,39.6,41.41
24,45,1.58,115,1.81,47,20,110,22,23.81
25,45,1.58,115,1.81,45,0,110,0,1.81
26,45,1.58,115,1.81,44,0,110,0,1.81
27,45,1.58,115,1.81,44,0,110,0,1.81
28,45,1.58,115,1.81,44,57,110,62.7,64.51
29,45,1.58,115,1.81,48,24,110,26.4,28.21
30,45,1.58,115,1.81,48,41,110,45.1,46.91
31,45,1.58,115,1.81,45,0,110,0,1.81
32,45,1.58,115,1.81,44,0,110,0,1.81
33,45,1.58,115,1.81,47,14,110,15.4,17.21
34,45,1.58,115,1.81,46,59,110,64.9,66.71
35,45,1.58,115,1.81,45,12,110,13.2,15.01
36,45,1.58,115,1.81,55,99,110,108.9,110.71
37,45,1.58,115,1.81,48,21,110,23.1,24.91
38,45,1.58,115,1.81,49,21,110,23.1,24.91
39,45,1.58,115,1.81,46,22,110,24.2,26.01
40,45,1.58,115,1.81,46,22,110,24.2,26.01
41,45,1.58,115,1.81,46,22,110,24.2,26.01
42,45,1.58,115,1.81,46,22,110,24.2,26.01
43,45,1.58,115,1.82,47,22,110,24.2,26.02
44,45,1.58,115,1.82,47,22,110,24.2,26.02
45,45,1.58,115,1.82,47,22,110,24.2,26.02
46,45,1.58,115,1.82,48,26,110,28.6,30.42
47,45,1.58,115,1.82,48,19,110,20.9,22.72
48,45,1.58,115,1.82,47,24,110,26.4,28.22
49,45,1.58,115,1.82,48,22,110,24.2,26.02
50,45,1.58,115,1.82,47,18,110,19.8,21.62
51,45,1.58,115,1.82,47,22,110,24.2,26.02
52,45,1.58,115,1.82,48,25,110,27.5,29.32
53,45,1.58,115,1.82,48,20,110,22,23.82
54,45,1.58,115,1.82,49,22,110,24.2,26.02
55,45,1.58,115,1.82,48,22,110,24.2,26.02
56,45,1.58,115,1.82,49,19,110,20.9,22.72
57,45,1.58,115,1.82,48,22,110,24.2,26.02
58,45,1.58,115,1.82,49,22,110,24.2,26.02
59,45,1.58,115,1.82,48,21,110,23.1,24.92
60,45,1.58,115,1.82,49,25,110,27.5,29.32
61,45,1.58,115,1.82,49,22,110,24.2,26.02
62,45,1.58,115,1.82,49,22,110,24.2,26.02
63,45,1.58,115,1.82,49,24,110,26.4,28.22
64,45,1.58,115,1.82,51,22,110,24.2,26.02
65,45,1.58,115,1.82,49,18,110,19.8,21.62
66,45,1.58,115,1.82,50,22,110,24.2,26.02
67,45,1.58,115,1.82,50,22,110,24.2,26.02
68,45,1.58,115,1.82,50,22,110,24.2,26.02
69,45,1.58,115,1.82,50,22,110,24.2,26.02
70,45,1.58,115,1.82,52,22,110,24.2,26.02
71,45,1.58,115,1.82,51,22,110,24.2,26.02
72,45,1.58,115,1.82,50,22,110,24.2,26.02
73,45,1.58,115,1.82,51,22,110,24.2,26.02
74,45,1.58,115,1.82,50,23,110,25.3,27.12
75,45,1.58,115,1.82,51,22,110,24.2,26.02
76,45,1.58,115,1.82,50,19,110,20.9,22.72
77,45,1.58,115,1.82,51,23,110,25.3,27.12
78,45,1.58,115,1.82,51,22,110,24.2,26.02
79,45,1.58,115,1.82,52,22,110,24.2,26.02
80,45,1.58,115,1.82,52,22,110,24.2,26.02
81,45,1.58,115,1.82,52,22,110,24.2,26.02
82,45,1.58,115,1.82,53,15,110,16.5,18.32
83,45,1.58,115,1.82,51,22,110,24.2,26.02
84,45,1.58,115,1.82,51,23,110,25.3,27.12
85,45,1.58,115,1.82,52,21,110,23.1,24.92
86,45,1.58,115,1.82,53,20,110,22,23.82
87,45,1.58,115,1.82,52,22,110,24.2,26.02
88,45,1.58,115,1.82,52,22,110,24.2,26.02
89,45,1.58,115,1.82,52,22,110,24.2,26.02
90,45,1.58,115,1.82,52,16,110,17.6,19.42
91,45,1.58,115,1.82,52,15,110,16.5,18.32
92,45,1.58,115,1.82,52,22,110,24.2,26.02
93,45,1.58,115,1.82,53,22,110,24.2,26.02
94,45,1.58,115,1.82,52,15,110,16.5,18.32
95,45,1.58,115,1.82,53,0,110,0,1.82
96,45,1.58,115,1.82,52,0,110,0,1.82
