Times,Average Energy (W)
1,3.7205714285
2,3.955083333416667
3,4.463952380933334
4,4.152178571416667
5,4.1256785715
6,4.189904761833334
7,4.116702380966667
8,4.4204523810000005
9,4.283630952383334
10,4.496880952333333
11,4.20214285715
12,3.6918928571333334
13,3.66107142855
14,4.0533452380999995
15,4.240011904666667
16,4.126761904666667
17,4.155690476116667
18,4.542714285533333
19,4.34871428565
20,4.275190476216666
21,4.4042857142
22,4.60909523805
23,4.157642857116667
24,3.8252976190833334
25,3.8975952381166667
26,4.292107142933333
27,3.96858333335
28,4.344476190466667
29,4.015749999983333
30,4.2490714286
