Times,Average Energy (W)
1,3.6232142856666667
2,3.573702381
3,3.4770952381166667
4,3.7612857142833334
5,3.65434523805
6,3.865440476183333
7,3.6944642857833334
8,3.6448095238
9,3.782904761916667
10,3.54542857145
11,3.5644761904833335
12,3.64042857145
13,3.7394047618833333
14,3.5195714285666666
15,3.314964285716667
16,3.5851071428666668
17,3.4854404762
18,3.5145357142666667
19,3.348369047633333
20,3.2168690476
21,3.4357023809166667
22,3.3282619048166664
23,3.1732380953333332
24,3.5977857143
25,3.2769880952333335
26,3.7124047619
27,3.5037023809833334
28,3.6573809523999996
29,3.6413809523833334
30,3.6593690475500003
