Times,Average Energy (W)
1,3.82620238095
2,4.0643690477000005
3,3.5740238094833336
4,4.13511904765
5,4.2786071428
6,3.9683333334
7,4.3809166666333335
8,4.330226190533334
9,3.741166666583333
10,4.190023809533333
11,4.16279761905
12,3.8655000000166666
13,4.0113214285500005
14,3.9032142857000003
15,2.1107619047333332
16,2.3207976190333333
17,2.1637261904
18,2.75228571425
19,4.024190476183334
20,4.105821428533334
21,3.4669523809666667
22,4.01717857145
23,4.281821428583333
24,3.6775476190833336
25,4.293357142866666
26,4.00751190475
27,4.097380952466667
28,3.9031785713833336
29,3.6022023809499997
30,4.311416666633334
