Times,Average Energy (W)
1,4.8763928573
2,6.251785714216666
3,5.701630952266667
4,6.126750000083334
5,5.726940476233334
6,5.824023809533333
7,5.7186904762
8,6.1397023809833335
9,6.706261904683333
10,6.940297619133333
11,7.56544047635
12,6.70955952385
13,6.388785714516667
14,5.925583333366666
15,5.8805476191
16,5.712857143016667
17,5.620488095333333
18,5.880488095233333
19,5.787749999983333
20,5.8026190476
21,5.768154761833333
22,5.81747619045
23,5.79111904775
24,5.49311904775
25,5.953333333233333
26,6.1611785713666665
27,5.80258333335
28,6.053583333183334
29,5.9523809524999995
30,5.610630952416667
