Times,NpuID(Idx),ChipId(Idx),Pwr(W),Temp(C),AI Core(%),AI Cpu(%),Ctrl Cpu(%),Memory(%),Memory BW(%),Adjusted CPU Power (W),CPU Energy (J),Total Energy (J)
1,0,0,7.6,47,0,6,27,66,2,27.57142857,1.654285714,1.654285714
2,0,0,7.6,46,0,11,35,66,2,27.35714286,3.009285714,3.009285714
3,0,0,7.6,46,0,5,29,66,2,27.35714286,1.367857143,1.367857143
4,0,0,7.6,47,0,6,37,67,2,27.57142857,1.654285714,1.654285714
5,0,0,7.7,47,0,10,53,68,2,27.57142857,2.757142857,2.757142857
6,0,0,7.9,47,0,9,43,69,4,27.57142857,2.481428571,2.481428571
7,0,0,7.9,46,0,7,46,69,4,27.35714286,1.915,1.915
8,0,0,7.9,47,0,6,44,69,3,27.57142857,1.654285714,1.654285714
9,0,0,7.8,47,0,9,52,70,4,27.57142857,2.481428571,2.481428571
10,0,0,7.9,47,0,9,56,70,2,27.57142857,2.481428571,2.481428571
11,0,0,7.9,47,0,7,50,70,3,27.57142857,1.93,1.93
12,0,0,7.9,46,0,13,44,72,2,27.35714286,3.556428571,3.556428571
13,0,0,7.8,47,0,6,41,73,2,27.57142857,1.654285714,1.654285714
14,0,0,7.8,47,0,11,47,74,4,27.57142857,3.032857143,3.032857143
15,0,0,7.8,46,0,14,63,76,3,27.35714286,3.83,3.83
16,0,0,7.9,47,0,5,56,81,3,27.57142857,1.378571429,1.378571429
17,0,0,7.9,47,0,7,44,84,3,27.57142857,1.93,1.93
18,0,0,7.8,46,0,6,32,89,4,27.35714286,1.641428571,1.641428571
19,0,0,7.8,47,0,8,37,92,3,27.57142857,2.205714286,2.205714286
20,0,0,7.9,46,0,8,49,90,3,27.35714286,2.188571429,2.188571429
21,0,0,7.9,47,0,5,51,90,3,27.57142857,1.378571429,1.378571429
22,0,0,7.9,47,0,9,38,92,2,27.57142857,2.481428571,2.481428571
23,0,0,7.9,47,0,16,36,86,5,27.57142857,4.411428571,4.411428571
24,0,0,8.1,47,0,37,95,86,7,27.57142857,10.20142857,10.20142857
25,0,0,8.3,47,0,16,92,86,5,27.57142857,4.411428571,4.411428571
26,0,0,8.3,47,0,10,94,92,12,27.57142857,2.757142857,2.757142857
27,0,0,8.5,47,0,11,86,84,6,27.57142857,3.032857143,3.032857143
28,0,0,8.5,47,0,20,95,84,4,27.57142857,5.514285714,5.514285714
29,0,0,8.4,47,0,15,94,84,4,27.57142857,4.135714286,4.135714286
30,0,0,8.4,47,0,6,71,90,10,27.57142857,1.654285714,1.654285714
