Times,NpuID(Idx),ChipId(Idx),Pwr(W),Temp(C),AI Core(%),AI Cpu(%),Ctrl Cpu(%),Memory(%),Memory BW(%),Adjusted CPU Power (W),CPU Energy (J),Total Energy (J)
1,0,0,8.1,47,0,14,79,93,4,27.57142857,3.86,3.86
2,0,0,8.2,47,0,15,80,93,5,27.57142857,4.135714286,4.135714286
3,0,0,8.2,47,0,15,78,93,5,27.57142857,4.135714286,4.135714286
4,0,0,8.2,47,0,11,73,93,3,27.57142857,3.032857143,3.032857143
5,0,0,8.1,47,0,9,77,93,5,27.57142857,2.481428571,2.481428571
6,0,0,8.1,47,0,16,76,93,4,27.57142857,4.411428571,4.411428571
7,0,0,8.1,47,0,17,74,93,4,27.57142857,4.687142857,4.687142857
8,0,0,8.1,47,0,14,76,93,4,27.57142857,3.86,3.86
9,0,0,8.1,47,0,15,75,93,5,27.57142857,4.135714286,4.135714286
10,0,0,8.1,47,0,14,78,93,4,27.57142857,3.86,3.86
11,0,0,8.1,47,0,10,74,93,3,27.57142857,2.757142857,2.757142857
12,0,0,8.1,47,0,13,79,93,3,27.57142857,3.584285714,3.584285714
13,0,0,8.1,47,0,18,79,93,5,27.57142857,4.962857143,4.962857143
14,0,0,8.1,47,0,12,75,93,4,27.57142857,3.308571429,3.308571429
15,0,0,8.1,47,0,20,75,93,5,27.57142857,5.514285714,5.514285714
16,0,0,8.1,47,0,8,76,93,5,27.57142857,2.205714286,2.205714286
17,0,0,8.1,47,0,18,76,93,4,27.57142857,4.962857143,4.962857143
18,0,0,8.1,47,0,17,76,93,4,27.57142857,4.687142857,4.687142857
19,0,0,8.1,47,0,9,74,93,5,27.57142857,2.481428571,2.481428571
20,0,0,8.2,47,0,16,78,93,5,27.57142857,4.411428571,4.411428571
21,0,0,8.1,47,0,7,73,93,4,27.57142857,1.93,1.93
22,0,0,8.1,47,0,9,72,93,4,27.57142857,2.481428571,2.481428571
23,0,0,8.1,47,0,20,78,93,5,27.57142857,5.514285714,5.514285714
24,0,0,8.2,47,0,24,74,93,5,27.57142857,6.617142857,6.617142857
25,0,0,8.2,47,0,30,75,93,5,27.57142857,8.271428571,8.271428571
26,0,0,8.2,47,0,8,73,93,4,27.57142857,2.205714286,2.205714286
27,0,0,8.2,47,0,6,66,93,2,27.57142857,1.654285714,1.654285714
28,0,0,8.1,47,0,14,32,93,2,27.57142857,3.86,3.86
29,0,0,7.9,46,0,5,24,93,2,27.35714286,1.367857143,1.367857143
30,0,0,7.7,46,0,8,27,93,1,27.35714286,2.188571429,2.188571429
31,0,0,7.7,46,0,6,25,93,2,27.35714286,1.641428571,1.641428571
32,0,0,7.6,47,0,3,25,93,1,27.57142857,0.827142857,0.827142857
33,0,0,7.6,46,0,11,29,93,3,27.35714286,3.009285714,3.009285714
34,0,0,7.6,47,0,4,28,93,2,27.57142857,1.102857143,1.102857143
35,0,0,7.6,47,0,8,29,93,2,27.57142857,2.205714286,2.205714286
36,0,0,7.6,47,0,13,31,93,1,27.57142857,3.584285714,3.584285714
37,0,0,7.6,47,0,6,24,93,1,27.57142857,1.654285714,1.654285714
38,0,0,7.6,47,0,17,49,93,7,27.57142857,4.687142857,4.687142857
39,0,0,7.8,46,0,12,72,93,2,27.35714286,3.282857143,3.282857143
40,0,0,8,47,0,13,52,90,3,27.57142857,3.584285714,3.584285714
41,0,0,8,47,0,6,60,91,1,27.57142857,1.654285714,1.654285714
42,0,0,8,47,0,14,63,92,4,27.57142857,3.86,3.86
