Times,NpuID(Idx),ChipId(Idx),Pwr(W),Temp(C),AI Core(%),AI Cpu(%),Ctrl Cpu(%),Memory(%),Memory BW(%),Adjusted CPU Power (W),CPU Energy (J),Total Energy (J)
1,0,0,7.6,47,0,6,25,82,2,27.57142857,1.654285714,1.654285714
2,0,0,7.6,47,0,12,33,82,1,27.57142857,3.308571429,3.308571429
3,0,0,7.7,47,0,5,24,83,3,27.57142857,1.378571429,1.378571429
4,0,0,7.7,47,0,7,46,84,3,27.57142857,1.93,1.93
5,0,0,7.8,47,0,9,63,85,2,27.57142857,2.481428571,2.481428571
6,0,0,7.8,48,0,3,46,85,2,27.78571429,0.833571429,0.833571429
7,0,0,7.9,48,0,13,50,86,2,27.78571429,3.612142857,3.612142857
8,0,0,7.9,47,0,6,48,86,4,27.57142857,1.654285714,1.654285714
9,0,0,7.9,47,0,12,56,87,3,27.57142857,3.308571429,3.308571429
10,0,0,7.9,47,0,35,70,87,3,27.57142857,9.65,9.65
11,0,0,8,47,0,7,47,88,2,27.57142857,1.93,1.93
12,0,0,7.9,47,0,12,48,90,3,27.57142857,3.308571429,3.308571429
13,0,0,7.9,47,0,11,60,90,2,27.57142857,3.032857143,3.032857143
14,0,0,7.9,47,0,4,57,93,2,27.57142857,1.102857143,1.102857143
15,0,0,8,47,0,13,62,93,3,27.57142857,3.584285714,3.584285714
16,0,0,7.9,48,0,5,47,96,5,27.78571429,1.389285714,1.389285714
17,0,0,8.1,48,0,35,73,96,3,27.78571429,9.725,9.725
18,0,0,8.1,47,0,15,93,96,7,27.57142857,4.135714286,4.135714286
19,0,0,8.1,47,0,13,92,96,2,27.57142857,3.584285714,3.584285714
20,0,0,8.1,48,0,19,90,96,4,27.78571429,5.279285714,5.279285714
21,0,0,8.2,48,0,9,89,96,3,27.78571429,2.500714286,2.500714286
22,0,0,8.2,47,0,5,91,94,3,27.57142857,1.378571429,1.378571429
23,0,0,8.2,48,0,24,92,94,1,27.78571429,6.668571429,6.668571429
24,0,0,8.2,48,0,14,90,94,5,27.78571429,3.89,3.89
25,0,0,8.2,47,0,17,88,94,2,27.57142857,4.687142857,4.687142857
26,0,0,8.2,48,0,13,90,94,4,27.78571429,3.612142857,3.612142857
27,0,0,8.1,48,0,16,91,94,4,27.78571429,4.445714286,4.445714286
28,0,0,8.1,47,0,7,84,94,7,27.57142857,1.93,1.93
29,0,0,8.1,48,0,18,89,94,1,27.78571429,5.001428571,5.001428571
30,0,0,8.2,47,0,12,89,94,2,27.57142857,3.308571429,3.308571429
31,0,0,8.1,48,0,12,89,94,7,27.78571429,3.334285714,3.334285714
32,0,0,8.1,48,0,11,85,94,2,27.78571429,3.056428571,3.056428571
33,0,0,8.1,47,0,21,92,94,2,27.57142857,5.79,5.79
34,0,0,8.2,47,0,18,88,94,7,27.57142857,4.962857143,4.962857143
35,0,0,8.2,48,0,11,84,94,7,27.78571429,3.056428571,3.056428571
36,0,0,8.2,48,0,14,69,95,13,27.78571429,3.89,3.89
