Times,NpuID(Idx),ChipId(Idx),Pwr(W),Temp(C),AI Core(%),AI Cpu(%),Ctrl Cpu(%),Memory(%),Memory BW(%),Adjusted CPU Power (W),CPU Energy (J),Total Energy (J)
1,0,0,7.7,48,0,6,29,77,3,27.78571429,1.667142857,1.667142857
2,0,0,7.7,48,0,9,32,77,2,27.78571429,2.500714286,2.500714286
3,0,0,7.7,48,0,9,30,78,4,27.78571429,2.500714286,2.500714286
4,0,0,7.8,48,0,27,69,79,2,27.78571429,7.502142857,7.502142857
5,0,0,8,48,0,7,58,80,3,27.78571429,1.945,1.945
6,0,0,8,48,0,15,62,81,3,27.78571429,4.167857143,4.167857143
7,0,0,8,48,0,8,57,81,4,27.78571429,2.222857143,2.222857143
8,0,0,8,48,0,29,68,81,3,27.78571429,8.057857143,8.057857143
9,0,0,8.1,48,0,15,62,81,2,27.78571429,4.167857143,4.167857143
10,0,0,8,48,0,3,56,82,4,27.78571429,0.833571429,0.833571429
11,0,0,8,48,0,16,72,83,1,27.78571429,4.445714286,4.445714286
12,0,0,8,48,0,12,85,83,2,27.78571429,3.334285714,3.334285714
13,0,0,8.1,48,0,10,89,83,1,27.78571429,2.778571429,2.778571429
14,0,0,8.1,48,0,18,87,83,2,27.78571429,5.001428571,5.001428571
15,0,0,8.1,48,0,9,83,83,3,27.78571429,2.500714286,2.500714286
16,0,0,8.1,48,0,18,81,83,1,27.78571429,5.001428571,5.001428571
17,0,0,8.1,48,0,25,87,83,2,27.78571429,6.946428571,6.946428571
18,0,0,8.1,48,0,10,82,83,2,27.78571429,2.778571429,2.778571429
19,0,0,8.1,48,0,13,87,83,2,27.78571429,3.612142857,3.612142857
20,0,0,8.1,48,0,10,82,83,3,27.78571429,2.778571429,2.778571429
21,0,0,8.2,48,0,51,92,83,2,27.78571429,14.17071429,14.17071429
22,0,0,8.1,48,0,24,84,83,2,27.78571429,6.668571429,6.668571429
23,0,0,8.1,48,0,12,82,83,2,27.78571429,3.334285714,3.334285714
24,0,0,8.1,48,0,23,87,83,4,27.78571429,6.390714286,6.390714286
