Times,NpuID(Idx),ChipId(Idx),Pwr(W),Temp(C),AI Core(%),AI Cpu(%),Ctrl Cpu(%),Memory(%),Memory BW(%),Adjusted CPU Power (W),CPU Energy (J),Total Energy (J)
1,0,0,7.6,48,0,4,23,68,4,27.78571429,1.111428571,1.111428571
2,0,0,7.6,48,0,10,42,68,1,27.78571429,2.778571429,2.778571429
3,0,0,7.6,48,0,5,25,69,5,27.78571429,1.389285714,1.389285714
4,0,0,7.7,48,0,10,60,70,2,27.78571429,2.778571429,2.778571429
5,0,0,7.9,48,0,12,64,71,2,27.78571429,3.334285714,3.334285714
6,0,0,7.9,48,0,6,60,71,4,27.78571429,1.667142857,1.667142857
7,0,0,8,48,0,12,62,72,2,27.78571429,3.334285714,3.334285714
8,0,0,8,48,0,6,58,73,4,27.78571429,1.667142857,1.667142857
9,0,0,8,48,0,7,58,76,2,27.78571429,1.945,1.945
10,0,0,8.1,48,0,22,97,76,2,27.78571429,6.112857143,6.112857143
11,0,0,8.2,48,0,9,95,76,6,27.78571429,2.500714286,2.500714286
12,0,0,8.2,48,0,23,95,76,2,27.78571429,6.390714286,6.390714286
13,0,0,8.2,48,0,22,94,76,7,27.78571429,6.112857143,6.112857143
14,0,0,8.2,48,0,7,97,76,2,27.78571429,1.945,1.945
15,0,0,8.2,48,0,15,96,76,6,27.78571429,4.167857143,4.167857143
16,0,0,8.2,48,0,14,90,81,8,27.78571429,3.89,3.89
17,0,0,8.3,48,0,23,90,81,3,27.78571429,6.390714286,6.390714286
18,0,0,8.3,48,0,18,97,81,2,27.78571429,5.001428571,5.001428571
19,0,0,8.2,48,0,15,94,81,5,27.78571429,4.167857143,4.167857143
20,0,0,8.2,48,0,44,97,81,6,27.78571429,12.22571429,12.22571429
21,0,0,8.3,48,0,15,95,78,2,27.78571429,4.167857143,4.167857143
22,0,0,8.3,48,0,14,93,78,7,27.78571429,3.89,3.89
23,0,0,8.3,48,0,11,88,81,8,27.78571429,3.056428571,3.056428571
24,0,0,8.3,48,0,17,98,81,2,27.78571429,4.723571429,4.723571429
25,0,0,8.3,48,0,14,94,81,4,27.78571429,3.89,3.89
26,0,0,8.3,48,0,27,94,81,2,27.78571429,7.502142857,7.502142857
27,0,0,8.2,48,0,17,93,81,2,27.78571429,4.723571429,4.723571429
28,0,0,8.2,48,0,16,98,81,9,27.78571429,4.445714286,4.445714286
29,0,0,8.2,48,0,20,79,81,6,27.78571429,5.557142857,5.557142857
30,0,0,8.3,48,0,15,67,82,7,27.78571429,4.167857143,4.167857143
31,0,0,8.3,48,0,5,65,82,6,27.78571429,1.389285714,1.389285714
32,0,0,8.3,48,0,18,74,81,6,27.78571429,5.001428571,5.001428571
33,0,0,8.3,48,0,12,69,82,16,27.78571429,3.334285714,3.334285714
34,0,0,8.3,48,0,12,62,82,11,27.78571429,3.334285714,3.334285714
35,0,0,8.3,48,0,10,68,83,8,27.78571429,2.778571429,2.778571429
36,0,0,8.3,48,0,31,92,80,2,27.78571429,8.613571429,8.613571429
37,0,0,8.4,48,0,24,97,80,3,27.78571429,6.668571429,6.668571429
38,0,0,8.3,48,0,13,95,81,3,27.78571429,3.612142857,3.612142857
39,0,0,8.3,48,0,24,94,81,3,27.78571429,6.668571429,6.668571429
40,0,0,8.3,48,0,28,96,81,5,27.78571429,7.78,7.78
41,0,0,8.3,48,0,31,95,79,3,27.78571429,8.613571429,8.613571429
42,0,0,8.3,48,0,26,93,80,4,27.78571429,7.224285714,7.224285714
43,0,0,8.3,48,0,24,87,81,3,27.78571429,6.668571429,6.668571429
44,0,0,8.3,48,0,31,97,81,3,27.78571429,8.613571429,8.613571429
45,0,0,8.3,48,0,12,96,81,3,27.78571429,3.334285714,3.334285714
46,0,0,8.4,48,0,41,94,81,2,27.78571429,11.39214286,11.39214286
47,0,0,8.4,48,0,11,97,80,8,27.78571429,3.056428571,3.056428571
48,0,0,8.3,48,0,15,94,80,6,27.78571429,4.167857143,4.167857143
49,0,0,8.3,48,0,24,91,81,8,27.78571429,6.668571429,6.668571429
50,0,0,8.3,48,0,9,94,81,8,27.78571429,2.500714286,2.500714286
51,0,0,8.3,48,0,16,98,81,3,27.78571429,4.445714286,4.445714286
52,0,0,8.3,48,0,25,93,81,2,27.78571429,6.946428571,6.946428571
53,0,0,8.3,48,0,23,95,81,5,27.78571429,6.390714286,6.390714286
54,0,0,8.3,48,0,21,96,81,4,27.78571429,5.835,5.835
55,0,0,8.3,48,0,12,94,81,4,27.78571429,3.334285714,3.334285714
56,0,0,8.3,48,0,33,94,81,2,27.78571429,9.169285714,9.169285714
57,0,0,8.3,48,0,15,98,81,3,27.78571429,4.167857143,4.167857143
58,0,0,8.2,48,0,9,94,81,3,27.78571429,2.500714286,2.500714286
59,0,0,8.2,48,0,35,97,81,2,27.78571429,9.725,9.725
60,0,0,8.2,48,0,13,96,81,2,27.78571429,3.612142857,3.612142857
61,0,0,8.2,48,0,19,98,81,7,27.78571429,5.279285714,5.279285714
62,0,0,8.2,48,0,18,92,81,4,27.78571429,5.001428571,5.001428571
63,0,0,8.2,48,0,39,98,81,4,27.78571429,10.83642857,10.83642857
64,0,0,8.3,48,0,8,75,84,10,27.78571429,2.222857143,2.222857143
65,0,0,8.3,48,0,24,87,84,3,27.78571429,6.668571429,6.668571429
66,0,0,8.3,48,0,28,95,84,2,27.78571429,7.78,7.78
67,0,0,8.3,48,0,29,98,84,4,27.78571429,8.057857143,8.057857143
68,0,0,8.3,48,0,34,93,84,3,27.78571429,9.447142857,9.447142857
69,0,0,8.3,48,0,50,94,84,7,27.78571429,13.89285714,13.89285714
70,0,0,8.3,48,0,37,97,84,6,27.78571429,10.28071429,10.28071429
71,0,0,8.3,48,0,40,97,84,4,27.78571429,11.11428571,11.11428571
72,0,0,8.3,48,0,11,93,84,2,27.78571429,3.056428571,3.056428571
73,0,0,8.3,48,0,16,98,84,2,27.78571429,4.445714286,4.445714286
74,0,0,8.3,48,0,25,97,84,5,27.78571429,6.946428571,6.946428571
75,0,0,8.3,48,0,23,91,84,7,27.78571429,6.390714286,6.390714286
76,0,0,8.3,48,0,18,74,83,8,27.78571429,5.001428571,5.001428571
77,0,0,8.3,48,0,26,72,85,7,27.78571429,7.224285714,7.224285714
78,0,0,8.3,48,0,34,69,83,4,27.78571429,9.447142857,9.447142857
